city,airport_name,code,country,region,slug,theme
City 1648,City 1648 International Airport,CLJ,Country 108,Asia Pacific,city-1648-clj,honeymoon travel
City 1649,City 1649 International Airport,CLK,Country 109,Latin America,city-1649-clk,executive itineraries
City 1650,City 1650 International Airport,CLL,Country 110,Africa,city-1650-cll,family premium travel
City 1651,City 1651 International Airport,CLM,Country 111,North America,city-1651-clm,luxury city breaks
City 1652,City 1652 International Airport,CLN,Country 112,Europe,city-1652-cln,business travel
City 1653,City 1653 International Airport,CLO,Country 113,Middle East,city-1653-clo,premium long-haul demand
City 1654,City 1654 International Airport,CLP,Country 114,Asia Pacific,city-1654-clp,honeymoon travel
City 1655,City 1655 International Airport,CLQ,Country 115,Latin America,city-1655-clq,executive itineraries
City 1656,City 1656 International Airport,CLR,Country 116,Africa,city-1656-clr,family premium travel
City 1657,City 1657 International Airport,CLS,Country 117,North America,city-1657-cls,luxury city breaks
City 1658,City 1658 International Airport,CLT,Country 118,Europe,city-1658-clt,business travel
City 1659,City 1659 International Airport,CLU,Country 119,Middle East,city-1659-clu,premium long-haul demand
City 1660,City 1660 International Airport,CLV,Country 120,Asia Pacific,city-1660-clv,honeymoon travel
City 1661,City 1661 International Airport,CLW,Country 121,Latin America,city-1661-clw,executive itineraries
City 1662,City 1662 International Airport,CLX,Country 122,Africa,city-1662-clx,family premium travel
City 1663,City 1663 International Airport,CLY,Country 123,North America,city-1663-cly,luxury city breaks
City 1664,City 1664 International Airport,CLZ,Country 124,Europe,city-1664-clz,business travel
City 1665,City 1665 International Airport,CMA,Country 125,Middle East,city-1665-cma,premium long-haul demand
City 1666,City 1666 International Airport,CMB,Country 126,Asia Pacific,city-1666-cmb,honeymoon travel
City 1667,City 1667 International Airport,CMC,Country 127,Latin America,city-1667-cmc,executive itineraries
City 1668,City 1668 International Airport,CMD,Country 128,Africa,city-1668-cmd,family premium travel
City 1669,City 1669 International Airport,CME,Country 129,North America,city-1669-cme,luxury city breaks
City 1670,City 1670 International Airport,CMF,Country 130,Europe,city-1670-cmf,business travel
City 1671,City 1671 International Airport,CMG,Country 131,Middle East,city-1671-cmg,premium long-haul demand
City 1672,City 1672 International Airport,CMH,Country 132,Asia Pacific,city-1672-cmh,honeymoon travel
City 1673,City 1673 International Airport,CMI,Country 133,Latin America,city-1673-cmi,executive itineraries
City 1674,City 1674 International Airport,CMJ,Country 134,Africa,city-1674-cmj,family premium travel
City 1675,City 1675 International Airport,CMK,Country 135,North America,city-1675-cmk,luxury city breaks
City 1676,City 1676 International Airport,CML,Country 136,Europe,city-1676-cml,business travel
City 1677,City 1677 International Airport,CMM,Country 137,Middle East,city-1677-cmm,premium long-haul demand
City 1678,City 1678 International Airport,CMN,Country 138,Asia Pacific,city-1678-cmn,honeymoon travel
City 1679,City 1679 International Airport,CMO,Country 139,Latin America,city-1679-cmo,executive itineraries
City 1680,City 1680 International Airport,CMP,Country 140,Africa,city-1680-cmp,family premium travel
City 1681,City 1681 International Airport,CMQ,Country 141,North America,city-1681-cmq,luxury city breaks
City 1682,City 1682 International Airport,CMR,Country 142,Europe,city-1682-cmr,business travel
City 1683,City 1683 International Airport,CMS,Country 143,Middle East,city-1683-cms,premium long-haul demand
City 1684,City 1684 International Airport,CMT,Country 144,Asia Pacific,city-1684-cmt,honeymoon travel
City 1685,City 1685 International Airport,CMU,Country 145,Latin America,city-1685-cmu,executive itineraries
City 1686,City 1686 International Airport,CMV,Country 146,Africa,city-1686-cmv,family premium travel
City 1687,City 1687 International Airport,CMW,Country 147,North America,city-1687-cmw,luxury city breaks
City 1688,City 1688 International Airport,CMX,Country 148,Europe,city-1688-cmx,business travel
City 1689,City 1689 International Airport,CMY,Country 149,Middle East,city-1689-cmy,premium long-haul demand
City 1690,City 1690 International Airport,CMZ,Country 150,Asia Pacific,city-1690-cmz,honeymoon travel
City 1691,City 1691 International Airport,CNA,Country 151,Latin America,city-1691-cna,executive itineraries
City 1692,City 1692 International Airport,CNB,Country 152,Africa,city-1692-cnb,family premium travel
City 1693,City 1693 International Airport,CNC,Country 153,North America,city-1693-cnc,luxury city breaks
City 1694,City 1694 International Airport,CND,Country 154,Europe,city-1694-cnd,business travel
City 1695,City 1695 International Airport,CNE,Country 155,Middle East,city-1695-cne,premium long-haul demand
City 1696,City 1696 International Airport,CNF,Country 156,Asia Pacific,city-1696-cnf,honeymoon travel
City 1697,City 1697 International Airport,CNG,Country 157,Latin America,city-1697-cng,executive itineraries
City 1698,City 1698 International Airport,CNH,Country 158,Africa,city-1698-cnh,family premium travel
City 1699,City 1699 International Airport,CNI,Country 159,North America,city-1699-cni,luxury city breaks
City 1700,City 1700 International Airport,CNJ,Country 160,Europe,city-1700-cnj,business travel
City 1701,City 1701 International Airport,CNK,Country 161,Middle East,city-1701-cnk,premium long-haul demand
City 1702,City 1702 International Airport,CNL,Country 162,Asia Pacific,city-1702-cnl,honeymoon travel
City 1703,City 1703 International Airport,CNM,Country 163,Latin America,city-1703-cnm,executive itineraries
City 1704,City 1704 International Airport,CNN,Country 164,Africa,city-1704-cnn,family premium travel
City 1705,City 1705 International Airport,CNO,Country 165,North America,city-1705-cno,luxury city breaks
City 1706,City 1706 International Airport,CNP,Country 166,Europe,city-1706-cnp,business travel
City 1707,City 1707 International Airport,CNQ,Country 167,Middle East,city-1707-cnq,premium long-haul demand
City 1708,City 1708 International Airport,CNR,Country 168,Asia Pacific,city-1708-cnr,honeymoon travel
City 1709,City 1709 International Airport,CNS,Country 169,Latin America,city-1709-cns,executive itineraries
City 1710,City 1710 International Airport,CNT,Country 170,Africa,city-1710-cnt,family premium travel
City 1711,City 1711 International Airport,CNU,Country 171,North America,city-1711-cnu,luxury city breaks
City 1712,City 1712 International Airport,CNV,Country 172,Europe,city-1712-cnv,business travel
City 1713,City 1713 International Airport,CNW,Country 173,Middle East,city-1713-cnw,premium long-haul demand
City 1714,City 1714 International Airport,CNX,Country 174,Asia Pacific,city-1714-cnx,honeymoon travel
City 1715,City 1715 International Airport,CNY,Country 175,Latin America,city-1715-cny,executive itineraries
City 1716,City 1716 International Airport,CNZ,Country 176,Africa,city-1716-cnz,family premium travel
City 1717,City 1717 International Airport,COA,Country 177,North America,city-1717-coa,luxury city breaks
City 1718,City 1718 International Airport,COB,Country 178,Europe,city-1718-cob,business travel
City 1719,City 1719 International Airport,COC,Country 179,Middle East,city-1719-coc,premium long-haul demand
City 1720,City 1720 International Airport,COD,Country 180,Asia Pacific,city-1720-cod,honeymoon travel
City 1721,City 1721 International Airport,COE,Country 181,Latin America,city-1721-coe,executive itineraries
City 1722,City 1722 International Airport,COF,Country 182,Africa,city-1722-cof,family premium travel
City 1723,City 1723 International Airport,COG,Country 183,North America,city-1723-cog,luxury city breaks
City 1724,City 1724 International Airport,COH,Country 184,Europe,city-1724-coh,business travel
City 1725,City 1725 International Airport,COI,Country 185,Middle East,city-1725-coi,premium long-haul demand
City 1726,City 1726 International Airport,COJ,Country 186,Asia Pacific,city-1726-coj,honeymoon travel
City 1727,City 1727 International Airport,COK,Country 187,Latin America,city-1727-cok,executive itineraries
City 1728,City 1728 International Airport,COL,Country 188,Africa,city-1728-col,family premium travel
City 1729,City 1729 International Airport,COM,Country 189,North America,city-1729-com,luxury city breaks
City 1730,City 1730 International Airport,CON,Country 190,Europe,city-1730-con,business travel
City 1731,City 1731 International Airport,COO,Country 191,Middle East,city-1731-coo,premium long-haul demand
City 1732,City 1732 International Airport,COP,Country 192,Asia Pacific,city-1732-cop,honeymoon travel
City 1733,City 1733 International Airport,COQ,Country 193,Latin America,city-1733-coq,executive itineraries
City 1734,City 1734 International Airport,COR,Country 194,Africa,city-1734-cor,family premium travel
City 1735,City 1735 International Airport,COS,Country 195,North America,city-1735-cos,luxury city breaks
City 1736,City 1736 International Airport,COT,Country 196,Europe,city-1736-cot,business travel
City 1737,City 1737 International Airport,COU,Country 197,Middle East,city-1737-cou,premium long-haul demand
City 1738,City 1738 International Airport,COV,Country 198,Asia Pacific,city-1738-cov,honeymoon travel
City 1739,City 1739 International Airport,COW,Country 199,Latin America,city-1739-cow,executive itineraries
City 1740,City 1740 International Airport,COX,Country 200,Africa,city-1740-cox,family premium travel
City 1741,City 1741 International Airport,COY,Country 201,North America,city-1741-coy,luxury city breaks
City 1742,City 1742 International Airport,COZ,Country 202,Europe,city-1742-coz,business travel
City 1743,City 1743 International Airport,CPA,Country 203,Middle East,city-1743-cpa,premium long-haul demand
City 1744,City 1744 International Airport,CPB,Country 204,Asia Pacific,city-1744-cpb,honeymoon travel
City 1745,City 1745 International Airport,CPC,Country 205,Latin America,city-1745-cpc,executive itineraries
City 1746,City 1746 International Airport,CPD,Country 206,Africa,city-1746-cpd,family premium travel
City 1747,City 1747 International Airport,CPE,Country 207,North America,city-1747-cpe,luxury city breaks
City 1748,City 1748 International Airport,CPF,Country 208,Europe,city-1748-cpf,business travel
City 1749,City 1749 International Airport,CPG,Country 209,Middle East,city-1749-cpg,premium long-haul demand
City 1750,City 1750 International Airport,CPH,Country 210,Asia Pacific,city-1750-cph,honeymoon travel
City 1751,City 1751 International Airport,CPI,Country 211,Latin America,city-1751-cpi,executive itineraries
City 1752,City 1752 International Airport,CPJ,Country 212,Africa,city-1752-cpj,family premium travel
City 1753,City 1753 International Airport,CPK,Country 213,North America,city-1753-cpk,luxury city breaks
City 1754,City 1754 International Airport,CPL,Country 214,Europe,city-1754-cpl,business travel
City 1755,City 1755 International Airport,CPM,Country 215,Middle East,city-1755-cpm,premium long-haul demand
City 1756,City 1756 International Airport,CPN,Country 216,Asia Pacific,city-1756-cpn,honeymoon travel
City 1757,City 1757 International Airport,CPO,Country 217,Latin America,city-1757-cpo,executive itineraries
City 1758,City 1758 International Airport,CPP,Country 218,Africa,city-1758-cpp,family premium travel
City 1759,City 1759 International Airport,CPQ,Country 219,North America,city-1759-cpq,luxury city breaks
City 1760,City 1760 International Airport,CPR,Country 220,Europe,city-1760-cpr,business travel
City 1761,City 1761 International Airport,CPS,Country 1,Middle East,city-1761-cps,premium long-haul demand
City 1762,City 1762 International Airport,CPT,Country 2,Asia Pacific,city-1762-cpt,honeymoon travel
City 1763,City 1763 International Airport,CPU,Country 3,Latin America,city-1763-cpu,executive itineraries
City 1764,City 1764 International Airport,CPV,Country 4,Africa,city-1764-cpv,family premium travel
City 1765,City 1765 International Airport,CPW,Country 5,North America,city-1765-cpw,luxury city breaks
City 1766,City 1766 International Airport,CPX,Country 6,Europe,city-1766-cpx,business travel
City 1767,City 1767 International Airport,CPY,Country 7,Middle East,city-1767-cpy,premium long-haul demand
City 1768,City 1768 International Airport,CPZ,Country 8,Asia Pacific,city-1768-cpz,honeymoon travel
City 1769,City 1769 International Airport,CQA,Country 9,Latin America,city-1769-cqa,executive itineraries
City 1770,City 1770 International Airport,CQB,Country 10,Africa,city-1770-cqb,family premium travel
City 1771,City 1771 International Airport,CQC,Country 11,North America,city-1771-cqc,luxury city breaks
City 1772,City 1772 International Airport,CQD,Country 12,Europe,city-1772-cqd,business travel
City 1773,City 1773 International Airport,CQE,Country 13,Middle East,city-1773-cqe,premium long-haul demand
City 1774,City 1774 International Airport,CQF,Country 14,Asia Pacific,city-1774-cqf,honeymoon travel
City 1775,City 1775 International Airport,CQG,Country 15,Latin America,city-1775-cqg,executive itineraries
City 1776,City 1776 International Airport,CQH,Country 16,Africa,city-1776-cqh,family premium travel
City 1777,City 1777 International Airport,CQI,Country 17,North America,city-1777-cqi,luxury city breaks
City 1778,City 1778 International Airport,CQJ,Country 18,Europe,city-1778-cqj,business travel
City 1779,City 1779 International Airport,CQK,Country 19,Middle East,city-1779-cqk,premium long-haul demand
City 1780,City 1780 International Airport,CQL,Country 20,Asia Pacific,city-1780-cql,honeymoon travel
City 1781,City 1781 International Airport,CQM,Country 21,Latin America,city-1781-cqm,executive itineraries
City 1782,City 1782 International Airport,CQN,Country 22,Africa,city-1782-cqn,family premium travel
City 1783,City 1783 International Airport,CQO,Country 23,North America,city-1783-cqo,luxury city breaks
City 1784,City 1784 International Airport,CQP,Country 24,Europe,city-1784-cqp,business travel
City 1785,City 1785 International Airport,CQQ,Country 25,Middle East,city-1785-cqq,premium long-haul demand
City 1786,City 1786 International Airport,CQR,Country 26,Asia Pacific,city-1786-cqr,honeymoon travel
City 1787,City 1787 International Airport,CQS,Country 27,Latin America,city-1787-cqs,executive itineraries
City 1788,City 1788 International Airport,CQT,Country 28,Africa,city-1788-cqt,family premium travel
City 1789,City 1789 International Airport,CQU,Country 29,North America,city-1789-cqu,luxury city breaks
City 1790,City 1790 International Airport,CQV,Country 30,Europe,city-1790-cqv,business travel
City 1791,City 1791 International Airport,CQW,Country 31,Middle East,city-1791-cqw,premium long-haul demand
City 1792,City 1792 International Airport,CQX,Country 32,Asia Pacific,city-1792-cqx,honeymoon travel
City 1793,City 1793 International Airport,CQY,Country 33,Latin America,city-1793-cqy,executive itineraries
City 1794,City 1794 International Airport,CQZ,Country 34,Africa,city-1794-cqz,family premium travel
City 1795,City 1795 International Airport,CRA,Country 35,North America,city-1795-cra,luxury city breaks
City 1796,City 1796 International Airport,CRB,Country 36,Europe,city-1796-crb,business travel
City 1797,City 1797 International Airport,CRC,Country 37,Middle East,city-1797-crc,premium long-haul demand
City 1798,City 1798 International Airport,CRD,Country 38,Asia Pacific,city-1798-crd,honeymoon travel
City 1799,City 1799 International Airport,CRE,Country 39,Latin America,city-1799-cre,executive itineraries
City 1800,City 1800 International Airport,CRF,Country 40,Africa,city-1800-crf,family premium travel
City 1801,City 1801 International Airport,CRG,Country 41,North America,city-1801-crg,luxury city breaks
City 1802,City 1802 International Airport,CRH,Country 42,Europe,city-1802-crh,business travel
City 1803,City 1803 International Airport,CRI,Country 43,Middle East,city-1803-cri,premium long-haul demand
City 1804,City 1804 International Airport,CRJ,Country 44,Asia Pacific,city-1804-crj,honeymoon travel
City 1805,City 1805 International Airport,CRK,Country 45,Latin America,city-1805-crk,executive itineraries
City 1806,City 1806 International Airport,CRL,Country 46,Africa,city-1806-crl,family premium travel
City 1807,City 1807 International Airport,CRM,Country 47,North America,city-1807-crm,luxury city breaks
City 1808,City 1808 International Airport,CRN,Country 48,Europe,city-1808-crn,business travel
City 1809,City 1809 International Airport,CRO,Country 49,Middle East,city-1809-cro,premium long-haul demand
City 1810,City 1810 International Airport,CRP,Country 50,Asia Pacific,city-1810-crp,honeymoon travel
City 1811,City 1811 International Airport,CRQ,Country 51,Latin America,city-1811-crq,executive itineraries
City 1812,City 1812 International Airport,CRR,Country 52,Africa,city-1812-crr,family premium travel
City 1813,City 1813 International Airport,CRS,Country 53,North America,city-1813-crs,luxury city breaks
City 1814,City 1814 International Airport,CRT,Country 54,Europe,city-1814-crt,business travel
City 1815,City 1815 International Airport,CRU,Country 55,Middle East,city-1815-cru,premium long-haul demand
City 1816,City 1816 International Airport,CRV,Country 56,Asia Pacific,city-1816-crv,honeymoon travel
City 1817,City 1817 International Airport,CRW,Country 57,Latin America,city-1817-crw,executive itineraries
City 1818,City 1818 International Airport,CRX,Country 58,Africa,city-1818-crx,family premium travel
City 1819,City 1819 International Airport,CRY,Country 59,North America,city-1819-cry,luxury city breaks
City 1820,City 1820 International Airport,CRZ,Country 60,Europe,city-1820-crz,business travel
City 1821,City 1821 International Airport,CSA,Country 61,Middle East,city-1821-csa,premium long-haul demand
City 1822,City 1822 International Airport,CSB,Country 62,Asia Pacific,city-1822-csb,honeymoon travel
City 1823,City 1823 International Airport,CSC,Country 63,Latin America,city-1823-csc,executive itineraries
City 1824,City 1824 International Airport,CSD,Country 64,Africa,city-1824-csd,family premium travel
City 1825,City 1825 International Airport,CSE,Country 65,North America,city-1825-cse,luxury city breaks
City 1826,City 1826 International Airport,CSF,Country 66,Europe,city-1826-csf,business travel
City 1827,City 1827 International Airport,CSG,Country 67,Middle East,city-1827-csg,premium long-haul demand
City 1828,City 1828 International Airport,CSH,Country 68,Asia Pacific,city-1828-csh,honeymoon travel
City 1829,City 1829 International Airport,CSI,Country 69,Latin America,city-1829-csi,executive itineraries
City 1830,City 1830 International Airport,CSJ,Country 70,Africa,city-1830-csj,family premium travel
City 1831,City 1831 International Airport,CSK,Country 71,North America,city-1831-csk,luxury city breaks
City 1832,City 1832 International Airport,CSL,Country 72,Europe,city-1832-csl,business travel
City 1833,City 1833 International Airport,CSM,Country 73,Middle East,city-1833-csm,premium long-haul demand
City 1834,City 1834 International Airport,CSN,Country 74,Asia Pacific,city-1834-csn,honeymoon travel
City 1835,City 1835 International Airport,CSO,Country 75,Latin America,city-1835-cso,executive itineraries
City 1836,City 1836 International Airport,CSP,Country 76,Africa,city-1836-csp,family premium travel
City 1837,City 1837 International Airport,CSQ,Country 77,North America,city-1837-csq,luxury city breaks
City 1838,City 1838 International Airport,CSR,Country 78,Europe,city-1838-csr,business travel
City 1839,City 1839 International Airport,CSS,Country 79,Middle East,city-1839-css,premium long-haul demand
City 1840,City 1840 International Airport,CST,Country 80,Asia Pacific,city-1840-cst,honeymoon travel
City 1841,City 1841 International Airport,CSU,Country 81,Latin America,city-1841-csu,executive itineraries
City 1842,City 1842 International Airport,CSV,Country 82,Africa,city-1842-csv,family premium travel
City 1843,City 1843 International Airport,CSW,Country 83,North America,city-1843-csw,luxury city breaks
City 1844,City 1844 International Airport,CSX,Country 84,Europe,city-1844-csx,business travel
City 1845,City 1845 International Airport,CSY,Country 85,Middle East,city-1845-csy,premium long-haul demand
City 1846,City 1846 International Airport,CSZ,Country 86,Asia Pacific,city-1846-csz,honeymoon travel
City 1847,City 1847 International Airport,CTA,Country 87,Latin America,city-1847-cta,executive itineraries
City 1848,City 1848 International Airport,CTB,Country 88,Africa,city-1848-ctb,family premium travel
City 1849,City 1849 International Airport,CTC,Country 89,North America,city-1849-ctc,luxury city breaks
City 1850,City 1850 International Airport,CTD,Country 90,Europe,city-1850-ctd,business travel
City 1851,City 1851 International Airport,CTE,Country 91,Middle East,city-1851-cte,premium long-haul demand
City 1852,City 1852 International Airport,CTF,Country 92,Asia Pacific,city-1852-ctf,honeymoon travel
City 1853,City 1853 International Airport,CTG,Country 93,Latin America,city-1853-ctg,executive itineraries
City 1854,City 1854 International Airport,CTH,Country 94,Africa,city-1854-cth,family premium travel
City 1855,City 1855 International Airport,CTI,Country 95,North America,city-1855-cti,luxury city breaks
City 1856,City 1856 International Airport,CTJ,Country 96,Europe,city-1856-ctj,business travel
City 1857,City 1857 International Airport,CTK,Country 97,Middle East,city-1857-ctk,premium long-haul demand
City 1858,City 1858 International Airport,CTL,Country 98,Asia Pacific,city-1858-ctl,honeymoon travel
City 1859,City 1859 International Airport,CTM,Country 99,Latin America,city-1859-ctm,executive itineraries
City 1860,City 1860 International Airport,CTN,Country 100,Africa,city-1860-ctn,family premium travel
City 1861,City 1861 International Airport,CTO,Country 101,North America,city-1861-cto,luxury city breaks
City 1862,City 1862 International Airport,CTP,Country 102,Europe,city-1862-ctp,business travel
City 1863,City 1863 International Airport,CTQ,Country 103,Middle East,city-1863-ctq,premium long-haul demand
City 1864,City 1864 International Airport,CTR,Country 104,Asia Pacific,city-1864-ctr,honeymoon travel
City 1865,City 1865 International Airport,CTS,Country 105,Latin America,city-1865-cts,executive itineraries
City 1866,City 1866 International Airport,CTT,Country 106,Africa,city-1866-ctt,family premium travel
City 1867,City 1867 International Airport,CTU,Country 107,North America,city-1867-ctu,luxury city breaks
City 1868,City 1868 International Airport,CTV,Country 108,Europe,city-1868-ctv,business travel
City 1869,City 1869 International Airport,CTW,Country 109,Middle East,city-1869-ctw,premium long-haul demand
City 1870,City 1870 International Airport,CTX,Country 110,Asia Pacific,city-1870-ctx,honeymoon travel
City 1871,City 1871 International Airport,CTY,Country 111,Latin America,city-1871-cty,executive itineraries
City 1872,City 1872 International Airport,CTZ,Country 112,Africa,city-1872-ctz,family premium travel
City 1873,City 1873 International Airport,CUA,Country 113,North America,city-1873-cua,luxury city breaks
City 1874,City 1874 International Airport,CUB,Country 114,Europe,city-1874-cub,business travel
City 1875,City 1875 International Airport,CUC,Country 115,Middle East,city-1875-cuc,premium long-haul demand
City 1876,City 1876 International Airport,CUD,Country 116,Asia Pacific,city-1876-cud,honeymoon travel
City 1877,City 1877 International Airport,CUE,Country 117,Latin America,city-1877-cue,executive itineraries
City 1878,City 1878 International Airport,CUF,Country 118,Africa,city-1878-cuf,family premium travel
City 1879,City 1879 International Airport,CUG,Country 119,North America,city-1879-cug,luxury city breaks
City 1880,City 1880 International Airport,CUH,Country 120,Europe,city-1880-cuh,business travel
City 1881,City 1881 International Airport,CUI,Country 121,Middle East,city-1881-cui,premium long-haul demand
City 1882,City 1882 International Airport,CUJ,Country 122,Asia Pacific,city-1882-cuj,honeymoon travel
City 1883,City 1883 International Airport,CUK,Country 123,Latin America,city-1883-cuk,executive itineraries
City 1884,City 1884 International Airport,CUL,Country 124,Africa,city-1884-cul,family premium travel
City 1885,City 1885 International Airport,CUM,Country 125,North America,city-1885-cum,luxury city breaks
City 1886,City 1886 International Airport,CUN,Country 126,Europe,city-1886-cun,business travel
City 1887,City 1887 International Airport,CUO,Country 127,Middle East,city-1887-cuo,premium long-haul demand
City 1888,City 1888 International Airport,CUP,Country 128,Asia Pacific,city-1888-cup,honeymoon travel
City 1889,City 1889 International Airport,CUQ,Country 129,Latin America,city-1889-cuq,executive itineraries
City 1890,City 1890 International Airport,CUR,Country 130,Africa,city-1890-cur,family premium travel
City 1891,City 1891 International Airport,CUS,Country 131,North America,city-1891-cus,luxury city breaks
City 1892,City 1892 International Airport,CUT,Country 132,Europe,city-1892-cut,business travel
City 1893,City 1893 International Airport,CUU,Country 133,Middle East,city-1893-cuu,premium long-haul demand
City 1894,City 1894 International Airport,CUV,Country 134,Asia Pacific,city-1894-cuv,honeymoon travel
City 1895,City 1895 International Airport,CUW,Country 135,Latin America,city-1895-cuw,executive itineraries
City 1896,City 1896 International Airport,CUX,Country 136,Africa,city-1896-cux,family premium travel
City 1897,City 1897 International Airport,CUY,Country 137,North America,city-1897-cuy,luxury city breaks
City 1898,City 1898 International Airport,CUZ,Country 138,Europe,city-1898-cuz,business travel
City 1899,City 1899 International Airport,CVA,Country 139,Middle East,city-1899-cva,premium long-haul demand
City 1900,City 1900 International Airport,CVB,Country 140,Asia Pacific,city-1900-cvb,honeymoon travel
City 1901,City 1901 International Airport,CVC,Country 141,Latin America,city-1901-cvc,executive itineraries
City 1902,City 1902 International Airport,CVD,Country 142,Africa,city-1902-cvd,family premium travel
City 1903,City 1903 International Airport,CVE,Country 143,North America,city-1903-cve,luxury city breaks
City 1904,City 1904 International Airport,CVF,Country 144,Europe,city-1904-cvf,business travel
City 1905,City 1905 International Airport,CVG,Country 145,Middle East,city-1905-cvg,premium long-haul demand
City 1906,City 1906 International Airport,CVH,Country 146,Asia Pacific,city-1906-cvh,honeymoon travel
City 1907,City 1907 International Airport,CVI,Country 147,Latin America,city-1907-cvi,executive itineraries
City 1908,City 1908 International Airport,CVJ,Country 148,Africa,city-1908-cvj,family premium travel
City 1909,City 1909 International Airport,CVK,Country 149,North America,city-1909-cvk,luxury city breaks
City 1910,City 1910 International Airport,CVL,Country 150,Europe,city-1910-cvl,business travel
City 1911,City 1911 International Airport,CVM,Country 151,Middle East,city-1911-cvm,premium long-haul demand
City 1912,City 1912 International Airport,CVN,Country 152,Asia Pacific,city-1912-cvn,honeymoon travel
City 1913,City 1913 International Airport,CVO,Country 153,Latin America,city-1913-cvo,executive itineraries
City 1914,City 1914 International Airport,CVP,Country 154,Africa,city-1914-cvp,family premium travel
City 1915,City 1915 International Airport,CVQ,Country 155,North America,city-1915-cvq,luxury city breaks
City 1916,City 1916 International Airport,CVR,Country 156,Europe,city-1916-cvr,business travel
City 1917,City 1917 International Airport,CVS,Country 157,Middle East,city-1917-cvs,premium long-haul demand
City 1918,City 1918 International Airport,CVT,Country 158,Asia Pacific,city-1918-cvt,honeymoon travel
City 1919,City 1919 International Airport,CVU,Country 159,Latin America,city-1919-cvu,executive itineraries
City 1920,City 1920 International Airport,CVV,Country 160,Africa,city-1920-cvv,family premium travel
City 1921,City 1921 International Airport,CVW,Country 161,North America,city-1921-cvw,luxury city breaks
City 1922,City 1922 International Airport,CVX,Country 162,Europe,city-1922-cvx,business travel
City 1923,City 1923 International Airport,CVY,Country 163,Middle East,city-1923-cvy,premium long-haul demand
City 1924,City 1924 International Airport,CVZ,Country 164,Asia Pacific,city-1924-cvz,honeymoon travel
City 1925,City 1925 International Airport,CWA,Country 165,Latin America,city-1925-cwa,executive itineraries
City 1926,City 1926 International Airport,CWB,Country 166,Africa,city-1926-cwb,family premium travel
City 1927,City 1927 International Airport,CWC,Country 167,North America,city-1927-cwc,luxury city breaks
City 1928,City 1928 International Airport,CWD,Country 168,Europe,city-1928-cwd,business travel
City 1929,City 1929 International Airport,CWE,Country 169,Middle East,city-1929-cwe,premium long-haul demand
City 1930,City 1930 International Airport,CWF,Country 170,Asia Pacific,city-1930-cwf,honeymoon travel
City 1931,City 1931 International Airport,CWG,Country 171,Latin America,city-1931-cwg,executive itineraries
City 1932,City 1932 International Airport,CWH,Country 172,Africa,city-1932-cwh,family premium travel
City 1933,City 1933 International Airport,CWI,Country 173,North America,city-1933-cwi,luxury city breaks
City 1934,City 1934 International Airport,CWJ,Country 174,Europe,city-1934-cwj,business travel
City 1935,City 1935 International Airport,CWK,Country 175,Middle East,city-1935-cwk,premium long-haul demand
City 1936,City 1936 International Airport,CWL,Country 176,Asia Pacific,city-1936-cwl,honeymoon travel
City 1937,City 1937 International Airport,CWM,Country 177,Latin America,city-1937-cwm,executive itineraries
City 1938,City 1938 International Airport,CWN,Country 178,Africa,city-1938-cwn,family premium travel
City 1939,City 1939 International Airport,CWO,Country 179,North America,city-1939-cwo,luxury city breaks
City 1940,City 1940 International Airport,CWP,Country 180,Europe,city-1940-cwp,business travel
City 1941,City 1941 International Airport,CWQ,Country 181,Middle East,city-1941-cwq,premium long-haul demand
City 1942,City 1942 International Airport,CWR,Country 182,Asia Pacific,city-1942-cwr,honeymoon travel
City 1943,City 1943 International Airport,CWS,Country 183,Latin America,city-1943-cws,executive itineraries
City 1944,City 1944 International Airport,CWT,Country 184,Africa,city-1944-cwt,family premium travel
City 1945,City 1945 International Airport,CWU,Country 185,North America,city-1945-cwu,luxury city breaks
City 1946,City 1946 International Airport,CWV,Country 186,Europe,city-1946-cwv,business travel
City 1947,City 1947 International Airport,CWW,Country 187,Middle East,city-1947-cww,premium long-haul demand
City 1948,City 1948 International Airport,CWX,Country 188,Asia Pacific,city-1948-cwx,honeymoon travel
City 1949,City 1949 International Airport,CWY,Country 189,Latin America,city-1949-cwy,executive itineraries
City 1950,City 1950 International Airport,CWZ,Country 190,Africa,city-1950-cwz,family premium travel
City 1951,City 1951 International Airport,CXA,Country 191,North America,city-1951-cxa,luxury city breaks
City 1952,City 1952 International Airport,CXB,Country 192,Europe,city-1952-cxb,business travel
City 1953,City 1953 International Airport,CXC,Country 193,Middle East,city-1953-cxc,premium long-haul demand
City 1954,City 1954 International Airport,CXD,Country 194,Asia Pacific,city-1954-cxd,honeymoon travel
City 1955,City 1955 International Airport,CXE,Country 195,Latin America,city-1955-cxe,executive itineraries
City 1956,City 1956 International Airport,CXF,Country 196,Africa,city-1956-cxf,family premium travel
City 1957,City 1957 International Airport,CXG,Country 197,North America,city-1957-cxg,luxury city breaks
City 1958,City 1958 International Airport,CXH,Country 198,Europe,city-1958-cxh,business travel
City 1959,City 1959 International Airport,CXI,Country 199,Middle East,city-1959-cxi,premium long-haul demand
City 1960,City 1960 International Airport,CXJ,Country 200,Asia Pacific,city-1960-cxj,honeymoon travel
City 1961,City 1961 International Airport,CXK,Country 201,Latin America,city-1961-cxk,executive itineraries
